Summary File,Negative,Neutral,Positive,Compound
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\The Verge\The Verge_Why Instagram is taking on Twitter with Threads_summary.txt,0.011,0.813,0.176,0.9909
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\The Verge\The Verge_You caníªt just leave Threads in the Following feed_summary.txt,0.051,0.938,0.011,-0.7461
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Wired\Wired_6 Threads App Settings Worth Trying Out_summary.txt,0.058,0.924,0.018,-0.6956
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Wired\Wired_After Threads, There Has to Be a íÑNew Twitteríª Moratorium_summary.txt",0.085,0.802,0.113,0.461
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Wired\Wired_Don_t Join ThreadsíXMake Threads Join You_summary.txt,0.121,0.783,0.096,-0.8589
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Wired\Wired_How Threads Could Kill Twitter_summary.txt,0.11,0.782,0.107,-0.1856
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Wired\Wired_How Threadsíª Privacy Policy Compares to Twitteríªs (and Its Rivalsíª)_summary.txt,0.0,0.938,0.062,0.9468
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Wired\Wired_How to Find Your Twitter Friends on Threads_summary.txt,0.0,0.907,0.093,0.9442
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Wired\Wired_Metaíªs Threads Could MakeíXor BreakíXthe Fediverse_summary.txt,0.053,0.892,0.056,-0.3523
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Wired\Wired_Threads Is the Latest Move in the AI Arms Race_summary.txt,0.018,0.915,0.068,0.8591
E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Wired\Wired_Threads Is the New Cool HangoutíXfor Brands_summary.txt,0.085,0.831,0.084,-0.0344
"E:\Study\TUD\Computational Knowledge Analysis\Term Paper\Corpus\Summaries\Technology\Wired\Wired_Threads may be a íÑcopycat,íª but can Eloníªs Twitter kill it_summary.txt",0.075,0.887,0.038,-0.6369
